id,priority,page,slot,ref_file,ref_line,ref_type,current_path,target_path,width,height,formats,prompt,status,gen_size,updated_at,notes
P0-11,P0,company/team.html,half-panel-bg,company/team.html,283,data-bgimage,images/misc/s7.webp,images/sections/team-panel.webp,1000,1000,webp,"An overhead editorial photograph of a technical workstation — mechanical keyboard, a large monitor showing a terminal window with white monospace text on black, a coffee mug, and hand-written technical notes on index cards arranged around it. Warm amber overhead light, teal shadows around the edges. Real photojournalistic style, fine film grain, no faces visible. Square composition.",done,2000x2000,2026-06-14T07:50Z,verified 1000x1000
P0-12,P0,insights/testimonials.html,half-panel-bg,insights/testimonials.html,358,data-bgimage,images/misc/s7.webp,images/sections/testimonials-panel.webp,1000,1000,webp,"An editorial photograph of a federal building hallway — marble floor, institutional amber ceiling lamps casting warm light, a framed commendation plaque on the wall with text too small to read. Teal shadows recede into the corridor depth. Real photojournalistic style, fine film grain, no faces, no people. Square composition.",done,2000x2000,2026-06-14T07:55Z,verified 1000x1000
P0-13,P0,solutions/cloud.html,half-panel-bg,solutions/cloud.html,243,data-bgimage,images/misc/s7.webp,images/sections/sol-cloud-panel.webp,1000,1000,webp,"An editorial photograph of a network operations center desk with a single empty workstation — clean setup, monitors displaying a minimal status dashboard, amber task light illuminating the desk, federal-government institutional beige wall behind. Real photojournalistic style, fine film grain, no people visible, no glowing HUD elements. Square composition.",done,2000x2000,2026-06-14T07:55Z,verified 1000x1000
P0-14,P0,solutions/cloud-native.html,half-panel-bg,solutions/cloud-native.html,243,data-bgimage,images/misc/s7.webp,images/sections/sol-cloud-native-panel.webp,1000,1000,webp,"An editorial photograph of a compact mil-spec rack-mount server mounted inside a half-open Pelican transit case. Foam cut-outs cradle the equipment. Amber field lighting illuminates the server face. Teal shadow fills the interior of the case lid. Real photojournalistic style, fine film grain, no faces. Square composition.",done,2000x2000,2026-06-14T08:00Z,verified 1000x1000
P0-15,P0,solutions/digital-transformation.html,half-panel-bg,solutions/digital-transformation.html,243,data-bgimage,images/misc/s7.webp,images/sections/sol-digital-transform-panel.webp,1000,1000,webp,"An editorial photograph of a structured cabling project in progress — a patch panel half-wired, old-style cable on the left side and new Category-6 cable on the right, a cable punch-down tool resting on the panel. Amber overhead work light illuminates the panel. Real photojournalistic style, fine film grain, no faces. Square composition.",done,2000x2000,2026-06-14T08:00Z,verified 1000x1000
P0-16,P0,solutions/hud-systems.html,half-panel-bg,solutions/hud-systems.html,243,data-bgimage,images/misc/s7.webp,images/sections/sol-hud-panel.webp,1000,1000,webp,"An editorial photograph of a high-resolution display monitor face-on showing a tactical topographic map — contour lines, elevation data, grid coordinates, no identifying text — under warm amber ambient room light. The monitor's black bezel is prominent. Teal ceiling-light reflections appear in the screen corners. No floating 3D HUD elements. Real photojournalistic style, fine film grain. Square composition.",done,2000x2000,2026-06-14T08:05Z,verified 1000x1000
P1-01,P1,booking.html,subheader-banner,booking.html,146,data-bgimage,images/background/4.webp,images/background/booking.webp,1920,800,webp,"An editorial photograph of a federal office building lobby at early morning — polished stone floor reflecting warm amber light from floor-to-ceiling windows, a single empty reception desk with a slim terminal, institutional calm before the workday begins. No people visible. Real photojournalistic style, wide horizontal, fine film grain, soft atmospheric haze.",done,3840x1600,2026-06-14T08:10Z,verified 1920x800
P1-02,P1,contact.html,subheader-banner,contact.html,146,data-bgimage,images/background/4.webp,images/background/contact.webp,1920,800,webp,"An aerial editorial photograph of a rural West Virginia river valley at first light — the Kanawha River curving through morning ground fog, early amber sunlight catching the water surface, dark teal hills in shadow on either side. Real photojournalistic drone shot, horizontal, atmospheric haze, fine film grain. No people.",done,3840x1600,2026-06-14T08:10Z,verified 1920x800
P1-03,P1,capabilities/ai.html,subheader-banner,capabilities/ai.html,146,data-bgimage,images/background/4.webp,images/background/cap-ai.webp,1920,800,webp,"An editorial photograph of rows of GPU server blades in a federal data center at first light — amber glow from LED status indicators, teal-lit liquid cooling tubes running along rack backs, cables organized by color, subtle cooling-fan haze in the air. Camera at rack-height looking down the aisle. Real photojournalistic style, no glowing brains, no holographic elements. Horizontal.",done,3840x1600,pre-existing,verified 1920x800
P1-04,P1,capabilities/autonomous-systems.html,subheader-banner,capabilities/autonomous-systems.html,146,data-bgimage,images/background/4.webp,images/background/cap-autonomous.webp,1920,800,webp,"An editorial photograph of an unmanned surface vessel cutting through calm grey-blue water at dawn — bow wave catching first amber light, white wake trailing behind, a warm amber glow on the horizon. Low camera angle at water level, dramatic composition. No people. Real photojournalistic style, fine film grain. Horizontal.",done,3840x1600,2026-06-14T08:20Z,verified 1920x800
P1-05,P1,capabilities/computer-vision.html,subheader-banner,capabilities/computer-vision.html,146,data-bgimage,images/background/4.webp,images/background/cap-cv.webp,1920,800,webp,"An editorial photograph of a precision telephoto lens array or long-range optical instrument mounted on a tripod against an open desert sky at early morning. Amber sun just above the horizon, the lens glass catching a starburst flare, teal shadows on the equipment body. No crosshairs, no HUD overlays, no targeting graphics. Real photojournalistic style. Horizontal.",done,3840x1600,2026-06-14T08:20Z,verified 1920x800
P1-06,P1,capabilities/computing.html,subheader-banner,capabilities/computing.html,146,data-bgimage,images/background/4.webp,images/background/cap-computing.webp,1920,800,webp,"An editorial photograph of a high-density compute facility interior — rows of blade servers receding into depth, warm amber overhead lighting, teal-lit hot-aisle containment curtains, fine particulate haze from air cooling. Low angle, symmetrical corridor composition. No glowing brains, no holographic elements. Real photojournalistic style. Horizontal.",done,3840x1600,2026-06-14T15:54:00.093449+00:00,verified
P1-07,P1,capabilities/cryptography.html,subheader-banner,capabilities/cryptography.html,146,data-bgimage,images/background/4.webp,images/background/cap-crypto.webp,1920,800,webp,"An editorial macro photograph of a glass prism splitting a single white-light beam into a color spectrum on a dark optical bench. Warm amber beam entering one face of the prism, teal-to-amber spectrum fanning out across a black surface. Dust motes visible in the light. Real photojournalistic style, shallow depth of field. Horizontal.",done,3840x1600,pre-existing,verified 1920x800
P1-08,P1,capabilities/integration.html,subheader-banner,capabilities/integration.html,146,data-bgimage,images/background/4.webp,images/background/cap-integration.webp,1920,800,webp,"An editorial photograph of a structured cable management bay in a network operations center — hundreds of multicolored Ethernet cables organized in horizontal trays running left to right, warm amber overhead light catching the cable jackets, teal-dark background beyond the tray. No people, no screens. Real photojournalistic style. Horizontal.",failed,3840x1600,2026-06-14T15:57:55.760413+00:00,codex error: TimeoutExpired after 600s
P1-09,P1,capabilities/intelligence.html,subheader-banner,capabilities/intelligence.html,146,data-bgimage,images/background/4.webp,images/background/cap-intelligence.webp,1920,800,webp,"An editorial aerial surveillance perspective — a wide overhead photograph of an empty desert crossroads at first light, amber morning sun casting long shadows from sparse roadside vegetation, teal-dark road surface contrasting with the golden earth. No people. Real photojournalistic drone photo. Horizontal.",done,3840x1600,2026-06-14T16:07:55.846475+00:00,verified
P1-10,P1,capabilities/quantum.html,subheader-banner,capabilities/quantum.html,146,data-bgimage,images/background/4.webp,images/background/cap-quantum.webp,1920,800,webp,"An editorial photograph of the interior of a dilution refrigerator cryostat in a physics laboratory — cylindrical copper and stainless-steel thermal stages hanging concentrically from a ceiling mount, amber ceiling light picking out the polished copper surfaces, teal-cold shadow between thermal stages, cabling running up the center rod. No quantum-chandelier CGI, no floating atom spheres — real laboratory hardware. Horizontal.",done,3840x1600,2026-06-14T16:12:03.361129+00:00,verified
P1-11,P1,capabilities/robotics.html,subheader-banner,capabilities/robotics.html,146,data-bgimage,images/background/4.webp,images/background/cap-robotics.webp,1920,800,webp,"An editorial photograph of a small tracked unmanned ground vehicle sitting on gravel terrain at dawn. The vehicle is compact and low-slung with mil-spec matte-green paint. First amber light from the left side-lights it dramatically. Teal shadows on the right side. Camera at ground level. No robot dogs. Real photojournalistic style, fine film grain. Horizontal.",done,3840x1600,2026-06-14T16:21:17.646649+00:00,verified
P1-12,P1,capabilities/tactical-comms.html,subheader-banner,capabilities/tactical-comms.html,146,data-bgimage,images/background/4.webp,images/background/cap-comms.webp,1920,800,webp,"An editorial photograph of a man-portable SATCOM terminal deployed on a ridgeline at first light. The matte-green ruggedized case is open with a compact flat-panel antenna angled toward the sky. Warm amber sunrise glows on the horizon behind the terminal. Teal shadows fill the valley below. No faces visible. Real photojournalistic style, wide horizontal.",done,3840x1600,2026-06-14T16:25:06.710623+00:00,verified
P1-13,P1,company/about.html,subheader-banner,company/about.html,175,data-bgimage,images/background/3.webp,images/background/about.webp,1920,800,webp,"An editorial photograph of the U.S. Capitol dome at first light — amber sunrise glow behind the dome, teal-blue sky above, empty National Mall foreground with long shadows on the grass. No crowds, no people. Real photojournalistic wide horizontal, fine film grain.",done,3840x1600,2026-06-14T16:33:22.657788+00:00,verified
P1-14,P1,company/careers.html,subheader-banner,company/careers.html,146,data-bgimage,images/background/3.webp,images/background/careers.webp,1920,800,webp,"An editorial photograph of a clean modern standing desk in a small office at dawn — laptop on the desk, morning amber light slanting through venetian blinds casting diagonal stripe shadows across the desk surface, teal wall in background. Inviting, minimal, aspirational. No people. Real photojournalistic style. Horizontal.",done,3840x1600,2026-06-14T16:37:36.157798+00:00,verified
P1-15,P1,company/certifications.html,subheader-banner,company/certifications.html,146,data-bgimage,images/background/3.webp,images/background/certifications.webp,1920,800,webp,"An editorial photograph of a federal government building entrance — a carved stone wall with an official bronze eagle seal or institutional emblem, first-light amber sunlight raking across the carved stone details highlighting texture, teal shadow in the background columns. No people. Official, institutional. Horizontal.",done,3840x1600,2026-06-14T16:42:59.173470+00:00,verified
P1-16,P1,company/partnerships.html,subheader-banner,company/partnerships.html,146,data-bgimage,images/background/4.webp,images/background/partnerships.webp,1920,800,webp,"An editorial photograph of two pairs of hands meeting over a polished conference table to exchange a document — wrists and hands only, no faces, formal business attire. First-light amber streams through a wide window at left. Teal shadows fall across the table surface. Clean, formal, partnership context. Real photojournalistic style. Horizontal.",failed,3840x1600,2026-06-14T16:48:56.223872+00:00,codex error: TimeoutExpired after 600s
P1-17,P1,company/team.html,subheader-banner,company/team.html,146,data-bgimage,images/background/3.webp,images/background/team.webp,1920,800,webp,"An editorial photograph of a small open-plan tech office at dawn — two or three empty modern chairs at workstations, amber light coming through large windows, teal shadows in room corners, whiteboards with marker sketches of system diagrams visible in background. Productive, energized, small-team feel. No people. Real photojournalistic style. Horizontal.",done,3840x1600,2026-06-14T16:58:56.287642+00:00,verified
P1-18,P1,industries/defense.html,subheader-banner,industries/defense.html,146,data-bgimage,images/background/4.webp,images/background/ind-defense.webp,1920,800,webp,"An editorial photograph of a military airfield at first light — empty flight line, two fixed-wing aircraft silhouetted against an amber-gold horizon, teal-dark tarmac in the foreground, heat shimmer rising from the runway. No soldiers, no people. Wide cinematic composition. Real photojournalistic style. Horizontal.",failed,3840x1600,2026-06-14T17:03:54.864815+00:00,codex error: TimeoutExpired after 600s
P1-19,P1,industries/federal.html,subheader-banner,industries/federal.html,146,data-bgimage,images/background/4.webp,images/background/ind-federal.webp,1920,800,webp,"An editorial photograph of a federal government building complex at dawn — classical stone columns or formal portico, empty sidewalk, American flag on a pole catching the first amber morning light, long shadows across the plaza. Institutional gravitas. No people. Real photojournalistic style. Horizontal.",pending,3840x1600,,
P1-20,P1,industries/intelligence.html,subheader-banner,industries/intelligence.html,146,data-bgimage,images/background/4.webp,images/background/ind-intelligence.webp,1920,800,webp,"An editorial photograph of a satellite ground station at pre-dawn — a large parabolic dish antenna pointing toward a dark sky, amber glow just beginning on the eastern horizon, teal-dark sky above, morning dew visible on the dish surface. Mysterious and purposeful. No people. Real photojournalistic style. Horizontal.",pending,3840x1600,,
P1-21,P1,industries/research.html,subheader-banner,industries/research.html,146,data-bgimage,images/background/4.webp,images/background/ind-research.webp,1920,800,webp,"An editorial photograph of a university physics research laboratory corridor — fume hoods and lab benches visible through safety-glass door windows, amber morning light from a corridor window, teal fluorescent light spilling from the lab interior, empty early-morning atmosphere. No people inside. Real photojournalistic style. Horizontal.",pending,3840x1600,,
P1-22,P1,insights/blog.html,subheader-banner,insights/blog.html,146,data-bgimage,images/background/4.webp,images/background/blog.webp,1920,800,webp,"An editorial photograph of a stack of technical journals and academic conference proceedings on a desk — printed covers partially visible, amber desk-lamp glow from the right, teal shadows on the left, a mechanical pencil beside the stack. Scholarly, editorial atmosphere. No people. Real photojournalistic style. Horizontal.",pending,3840x1600,,
P1-23,P1,insights/blog-single.html,subheader-banner,insights/blog-single.html,174,data-bgimage,images/background/4.webp,images/background/blog-single.webp,1920,800,webp,"An editorial photograph of a real-time data terminal screen in a dimly-lit room — a black CRT or flat-panel terminal displaying scrolling white monospace text that is unreadable at this scale, amber desk-lamp reflection on the desk surface below the screen, teal-dark room beyond. No faces. Minimal, focused. Real photojournalistic style. Horizontal.",pending,3840x1600,,
P1-24,P1,insights/gallery.html,subheader-banner,insights/gallery.html,146,data-bgimage,images/background/3.webp,images/background/gallery.webp,1920,800,webp,"An editorial photograph of a curated technology showcase display — matte-black pedestals holding small electronic modules and precision optical components, amber spotlights from above, teal shadow between pedestals, museum-quality presentation feel. No text, no faces. Real photojournalistic style. Horizontal.",pending,3840x1600,,
P1-25,P1,insights/innovation.html,subheader-banner,insights/innovation.html,146,data-bgimage,images/background/4.webp,images/background/innovation.webp,1920,800,webp,"An editorial photograph of a rapid-prototyping maker-space bench at dawn — a 3D printer running in the background, a freshly-etched PCB panel on the bench surface, amber morning light through a skylight, teal LED indicators on equipment. Creative productive energy implied. No faces. Real photojournalistic style. Horizontal.",pending,3840x1600,,
P1-26,P1,insights/perspectives.html,subheader-banner,insights/perspectives.html,146,data-bgimage,images/background/4.webp,images/background/perspectives.webp,1920,800,webp,"An editorial photograph of an open industry trade magazine on a clean conference table, a coffee cup beside it, first-light amber light through office windows, teal shadows across the table surface. Aspirational, thoughtful editorial atmosphere. No faces, no readable text on the pages. Real photojournalistic style. Horizontal.",pending,3840x1600,,
P1-27,P1,insights/testimonials.html,subheader-banner,insights/testimonials.html,146,data-bgimage,images/background/4.webp,images/background/testimonials.webp,1920,800,webp,"An editorial photograph of a formal official letter with an agency letterhead sitting on a clean desk — several pages, amber desk lamp light from the right, teal shadow on the left. No specific text readable, just official document texture and weight. Credibility theme. No faces. Real photojournalistic style. Horizontal.",pending,3840x1600,,
P1-28,P1,solutions/ai-platforms.html,subheader-banner,solutions/ai-platforms.html,146,data-bgimage,images/background/4.webp,images/background/sol-ai-platforms.webp,1920,800,webp,"An editorial photograph of a data center hallway at golden hour seen through a glass door — server racks receding into depth, amber overhead lighting, teal cooling system indicators, enterprise scale implied. No people, no glowing brains, no holographic elements. Real photojournalistic style. Horizontal.",pending,3840x1600,,
P1-29,P1,solutions/cloud.html,subheader-banner,solutions/cloud.html,146,data-bgimage,images/background/4.webp,images/background/sol-cloud.webp,1920,800,webp,"An aerial editorial photograph of cloud formations at dawn from above — looking down through wispy stratocumulus clouds breaking up over the horizon, warm amber sunlight illuminating the tops of the clouds, teal-blue shadow filling the valleys between cloud masses. Photojournalistic real aerial photograph, fine film grain. No people. Horizontal.",pending,3840x1600,,
P1-30,P1,solutions/cloud-native.html,subheader-banner,solutions/cloud-native.html,146,data-bgimage,images/background/4.webp,images/background/sol-cloud-native.webp,1920,800,webp,"An editorial photograph of a modular data center container unit — a shipping-container-format server pod on a tarmac at first light. Amber sun illuminates the corrugated metal sides with golden light. Teal shadow pools along the base of the container. Deployable, tactical-cloud aesthetic. No people. Real photojournalistic style. Horizontal.",pending,3840x1600,,
P1-31,P1,solutions/digital-transformation.html,subheader-banner,solutions/digital-transformation.html,146,data-bgimage,images/background/4.webp,images/background/sol-digital-transform.webp,1920,800,webp,"An editorial photograph of two pieces of hardware side by side on a clean table — an old beige computer terminal with chunky keyboard next to a modern slim laptop — photographed at first light, amber illumination from a window on the left, teal shadows on the right. Before-and-after transformation narrative implied. No people. Real photojournalistic style. Horizontal.",pending,3840x1600,,
P1-32,P1,solutions/hud-systems.html,subheader-banner,solutions/hud-systems.html,146,data-bgimage,images/background/4.webp,images/background/sol-hud.webp,1920,800,webp,"An editorial photograph of a view from behind an empty aircraft cockpit seat through the windshield — cockpit instrument panel in foreground shadow, amber sunrise directly ahead through the windshield glass, teal instrument panel shadows below. No HUD graphics, no floating UI elements, no pilot visible. Real photojournalistic style. Horizontal.",pending,3840x1600,,
P1-33,P1,solutions/jadc2.html,subheader-banner,solutions/jadc2.html,146,data-bgimage,images/background/4.webp,images/background/sol-jadc2.webp,1920,800,webp,"An editorial photograph of a naval destroyer at dawn — radar mast and bridge superstructure silhouetted against a first-light amber sky, grey hull visible, signal arrays and communication masts prominent. Teal ocean behind. No people visible. Wide cinematic. Multi-domain operations implied. Real photojournalistic style. Horizontal.",pending,3840x1600,,
P1-34,P1,solutions/zero-trust.html,subheader-banner,solutions/zero-trust.html,146,data-bgimage,images/background/4.webp,images/background/sol-zero-trust.webp,1920,800,webp,"An editorial photograph of a biometric access control panel on a secure door — a brushed-metal card reader with a small red indicator light, heavy steel door with a cipher lock, amber corridor lighting overhead, teal shadow on the door surface. Access-controlled entry atmosphere. No faces, no facial-recognition scanning graphics. Real photojournalistic style. Horizontal.",pending,3840x1600,,
P2-01,P2,capabilities/ai.html,feature-photo,capabilities/ai.html,190,img-src,images/misc/s3.webp,images/sections/cap-ai-feature.webp,1000,1000,webp,"An editorial macro photograph of a technician's hands (wrists and fingers only, no face) adjusting a fiber-optic patch panel on a dark equipment rack. Warm amber light from behind illuminates the translucent orange fiber cables. Teal shadows fill the background. Shallow depth of field focused on the connectors. Real photojournalistic style, fine film grain. Square composition.",pending,,,
P2-02,P2,capabilities/autonomous-systems.html,feature-photo,capabilities/autonomous-systems.html,190,img-src,images/misc/s3.webp,images/sections/cap-autonomous-feature.webp,1000,1000,webp,"An editorial close-up photograph of a ruggedized quadrotor drone's rotor assembly and carbon-fiber frame resting on grey tarmac at first light. Morning dew visible on the tarmac surface. Amber sunrise light reflects on the carbon fiber weave. Teal shadow pools under the drone undercarriage. Shallow depth of field, background airfield blurred. No robot dogs. Real photojournalistic style. Square.",pending,,,
P2-03,P2,capabilities/computer-vision.html,feature-photo,capabilities/computer-vision.html,190,img-src,images/misc/s3.webp,images/sections/cap-cv-feature.webp,1000,1000,webp,An editorial macro photograph of a CMOS image sensor chip held with fine tweezers above a green circuit board. Warm amber light from an LED lamp illuminates the silicon die. Teal reflections glint in the surrounding circuit traces. Shallow depth of field with the sensor in sharp focus. Lab bench context. No faces. Real photojournalistic style. Square.,pending,,,
P2-04,P2,capabilities/computing.html,feature-photo,capabilities/computing.html,190,img-src,images/misc/s3.webp,images/sections/cap-computing-feature.webp,1000,1000,webp,"An editorial photograph of a ruggedized edge-compute box — a matte-black mil-spec sealed enclosure with connector ports and status LEDs — sitting on an outdoor rocky surface at dawn. Warm amber sunrise light reflects off the metal surface. Teal shadow pools underneath. Shallow depth of field, soft background. Real photojournalistic style. Square.",pending,,,
P2-05,P2,capabilities/cryptography.html,feature-photo,capabilities/cryptography.html,190,img-src,images/misc/s3.webp,images/sections/cap-crypto-feature.webp,1000,1000,webp,"An editorial photograph of a hardware security module (HSM) — a small tamper-evident metal appliance with status LED indicators — sitting on a clean white lab bench. Warm amber bench lighting from above. Teal shadow in the background. Shallow depth of field focused on the device face. No floating padlock icons, no digital overlays. Real photojournalistic style. Square.",pending,,,
P2-06,P2,capabilities/integration.html,feature-photo,capabilities/integration.html,190,img-src,images/misc/s3.webp,images/sections/cap-integration-feature.webp,1000,1000,webp,"An editorial macro photograph of military-spec MIL-DTL-38999 circular connectors being mated by a technician's hands — wrists only visible, no face. Two industrial circular connectors coming together, amber light from above, teal shadow below. Shallow depth of field on the connector pins. Real photojournalistic style. Square.",pending,,,
P2-07,P2,capabilities/intelligence.html,feature-photo,capabilities/intelligence.html,190,img-src,images/misc/s3.webp,images/sections/cap-intelligence-feature.webp,1000,1000,webp,"An editorial photograph of a large-format printed topographic map spread across a fieldwork table — contour lines, elevation marks, and military grid pencil annotations visible on the map paper. Amber desk-lamp light casts a warm glow across the paper surface. Teal shadow at the table edge. Shallow depth of field on the center of the map. No digital overlays. Real photojournalistic style. Square.",pending,,,
P2-08,P2,capabilities/quantum.html,feature-photo,capabilities/quantum.html,190,img-src,images/misc/s3.webp,images/sections/cap-quantum-feature.webp,1000,1000,webp,"An editorial photograph of a quantum optics bench — a beam-splitter cube and two photodetectors mounted on a black optical rail in a darkened physics lab. A single narrow amber laser beam splits into two paths at the cube. Teal glow from indicator LEDs on the detectors. Shallow depth of field. No quantum-chandelier visuals, no floating atom spheres. Real photojournalistic macro style. Square.",pending,,,
P2-09,P2,capabilities/robotics.html,feature-photo,capabilities/robotics.html,190,img-src,images/misc/s3.webp,images/sections/cap-robotics-feature.webp,1000,1000,webp,"An editorial photograph of a robotic arm end-effector — a two-finger gripper in grey anodized aluminum — holding a small electronic module over a workbench. Warm amber studio light from above-right. Teal shadow under the gripper. Shallow depth of field, industrial context. No robot dogs. Real photojournalistic style. Square.",pending,,,
P2-10,P2,capabilities/tactical-comms.html,feature-photo,capabilities/tactical-comms.html,190,img-src,images/misc/s3.webp,images/sections/cap-comms-feature.webp,1000,1000,webp,An editorial close-up photograph of a tactical military radio handset resting on a rock surface at dawn. The ruggedized transceiver has an amber morning light glinting off its antenna connector. Teal shadow pools under the device. PTT button clearly visible. Shallow depth of field. No HUD overlays. Real photojournalistic style. Square.,pending,,,
P2-11,P2,company/about.html,about-hero,company/about.html,197,img-src,images/misc/l1.webp,images/sections/about-hero.webp,2000,1271,webp,"An editorial photograph of a technical founder's workbench — a large engineering notebook open to hand-drawn system architecture diagrams, a laptop half-open beside it, first-light amber streaming through a window onto the notebook pages, teal shadow in the room behind. No faces visible. Scholarly and purposeful atmosphere. Real photojournalistic style. Horizontal.",pending,,,
P2-12,P2,company/about.html,about-inset,company/about.html,199,img-src,images/misc/s1.webp,images/sections/about-inset.webp,1080,1080,webp,"An editorial macro photograph of a hand-written technical equation on graph paper — partial differential equations or digital signal processing notation — under warm amber desk-lamp light. Pencil marks, eraser dust, and graph grid lines visible. Teal shadow at the page edges. Intimate, scholarly, precise. Square.",pending,,,
P2-13,P2,company/about.html,about-secondary,company/about.html,294,img-src,images/misc/s3.webp,images/sections/about-secondary.webp,1000,1000,webp,"An editorial photograph of a small physics research laboratory bench — spectrum analyzer equipment, oscilloscope, signal cables, and a whiteboard partially visible in the background with equations. Amber incandescent tube-lamp illumination. Teal cooler shadows beyond the bench. No faces. Quiet and purposeful. Square.",pending,,,
P2-14,P2,company/partnerships.html,feature-photo,company/partnerships.html,171,img-src,images/misc/s3.webp,images/sections/partnerships-feature.webp,1000,1000,webp,An editorial photograph of a network patch panel with multiple cables from different vendors — each labeled with a small colored cable tag — organized neatly in a rack. Warm amber light from above. Teal shadow on the lower unused ports. Represents diverse system integration. Real photojournalistic style. Square.,pending,,,
